,Knesset_num,Party_ID,Party_name,Start_date,Finish_date
10,6,303,מפלגה דתית לאומית,22/11/1965,17/11/1969
11,6,305,ליברלים עצמאיים,22/11/1965,17/11/1969
12,6,307,המרכז החופשי,29/03/1967,17/11/1969
13,6,309,רשימה קומוניסטית חדשה,22/11/1965,17/11/1969
14,6,311,העולם הזה - כוח חדש,22/11/1965,17/11/1969
15,6,984,"חה""כ דוד בן גוריון",23/01/1968,17/11/1969
16,6,985,מערך,22/11/1965,23/01/1968
17,6,986,מפלגת העבודה הישראלית,23/01/1968,28/01/1969
18,6,987,הסיעה הדרוזית הישראלית,11/04/1967,17/11/1969
19,6,988,קידמה ופיתוח,01/01/1967,17/11/1969
20,6,989,שיתוף ואחווה,01/01/1967,17/11/1969
21,6,990,שיתוף ופיתוח,05/07/1966,01/01/1967
0,7,315,מפלגה דתית לאומית,17/11/1969,21/01/1974
1,7,319,אגודת ישראל,17/11/1969,21/01/1974
2,7,321,קידמה ופיתוח,17/11/1969,21/01/1974
3,7,325,גוש חרות ליברלים,17/11/1969,21/01/1974
4,7,329,שיתוף ואחווה,17/11/1969,21/01/1974
5,7,331,פועלי אגודת ישראל,17/11/1969,21/01/1974
6,7,333,מפלגה קומוניסטית ישראלית,17/11/1969,25/07/1973
7,7,337,מערך,17/11/1969,21/01/1974
8,7,339,הרשימה הממלכתית,17/11/1969,21/01/1974
9,7,345,מוקד,25/07/1973,21/01/1974
10,7,347,ליברלים עצמאיים,17/11/1969,21/01/1974
11,7,349,מרכז חופשי,17/11/1969,21/01/1974
12,7,351,רשימה קומוניסטית חדשה,17/11/1969,21/01/1974
13,7,353,העולם הזה - כוח חדש,17/11/1969,03/07/1973
14,7,991,"חה""כ אבנר-חי שאקי",22/05/1973,21/01/1974
15,7,992,"חה""כ מאיר אביזוהר",25/04/1972,17/07/1973
16,7,993,"חה""כ שלום כהן",04/01/1972,21/01/1974
17,7,994,מחנה רדיקלי ישראלי,03/07/1973,21/01/1974
0,8,355,הליכוד,21/01/1974,13/06/1977
1,8,357,מפלגה דתית לאומית,21/01/1974,13/06/1977
2,8,359,"ר""ץ",21/01/1974,03/06/1975
3,8,361,יהדות התורה ­ אגודת ישראל ודתיים בלתי מפלגתיים,15/03/1977,13/06/1977
4,8,365,קידמה ופיתוח,21/01/1974,26/02/1974
5,8,367,רשימה ערבית לבדואים וכפריים,21/01/1974,26/02/1974
6,8,369,הרשימה הערבית המאוחדת,08/03/1977,13/06/1977
7,8,371,המחנה התורתי ­ פועלי אגודת ישראל ודתיים בלתי מפלגתיים,15/03/1977,13/06/1977
8,8,375,מערך,21/01/1974,13/06/1977
9,8,379,חזית דתית תורתית,21/01/1974,15/03/1977
10,8,385,מוקד,21/01/1974,13/06/1977
11,8,387,ליברלים עצמאיים,21/01/1974,13/06/1977
12,8,389,הרשימה הקומוניסטית החדשה,21/01/1974,15/03/1977
13,8,391,חזית דמוקרטית לשלום ולשוויון,15/03/1977,13/06/1977
14,8,995,"חה""כ אריה לובה אליאב",29/04/1975,03/06/1975
15,8,996,"חה""כ בנימין הלוי",18/03/1975,19/01/1977
16,8,997,"חה""כ מרדכי בן-פורת",15/03/1977,13/06/1977
17,8,998,יעד - תנועה לזכויות האזרח,03/06/1975,27/01/1976
18,8,999,מפלגת פועלים מאוחדת,10/04/1977,12/04/1977
19,8,1000,מרכז חופשי,26/10/1976,25/01/1977
20,8,1001,סיעה סוציאל-דמוקרטית,27/01/1976,03/02/1976
21,8,1002,סיעה סוציאליסטית עצמאית,03/02/1976,13/06/1977
22,8,1003,קידמה ופיתוח,08/06/1976,08/03/1977
23,8,1004,"ר""ץ",27/01/1976,13/06/1977
24,8,1005,הסיעה לבדואים וכפריים,04/01/1977,08/03/1977
0,9,381,ליברלים עצמאיים,13/06/1977,20/07/1981
1,9,383,פלאטו שרון,13/06/1977,28/02/1978
2,9,393,שלומציון,13/06/1977,05/07/1977
3,9,395,"חה""כ סעדיה מרציאנו",11/11/1980,30/12/1980
4,9,397,הליכוד,13/06/1977,20/07/1981
5,9,399,מפלגה דתית לאומית,13/06/1977,20/07/1981
6,9,405,"ר""ץ",13/06/1977,20/07/1981
7,9,407,שינוי - מפלגת המרכז,29/07/1980,20/07/1981
8,9,409,אגודת ישראל,13/06/1977,20/07/1981
9,9,413,תנועה לשינוי ויוזמה,14/09/1978,29/07/1980
10,9,419,הרשימה הערבית המאוחדת,13/06/1977,20/07/1981
11,9,421,"תל""ם - התנועה להתחדשות ממלכתית",19/05/1981,20/07/1981
12,9,423,התנועה הדמוקרטית לשינוי,13/06/1977,14/09/1978
13,9,425,התנועה הדמוקרטית,14/09/1978,10/03/1981
14,9,427,ישראל אחת,11/11/1980,20/07/1981
15,9,429,פועלי אגודת ישראל,13/06/1977,20/07/1981
16,9,431,מערך,13/06/1977,20/07/1981
17,9,433,"מחנה של""י",13/06/1977,20/07/1981
18,9,435,חזית דמוקרטית לשלום ושוויון,13/06/1977,20/07/1981
19,9,437,אחווה,08/07/1980,20/07/1981
20,9,439,יעד,14/09/1978,20/07/1981
21,9,688,"בנא""י",17/07/1979,20/11/1979
22,9,689,"תחייה - בנא""י",20/11/1979,20/07/1981
23,9,1006,"חה""כ בנימין הלוי",10/03/1981,20/07/1981
24,9,1007,"חה""כ יגאל ידין",10/03/1981,20/07/1981
25,9,1008,"חה""כ יוסף תמיר",11/05/1981,20/07/1981
26,9,1009,"חה""כ יצחק יצחקי",14/10/1980,11/11/1980
27,9,1010,"חה""כ מרדכי אלגרבלי",05/02/1980,19/05/1981
28,9,1011,"חה""כ משה דיין",05/07/1977,19/05/1981
29,9,1012,"חה""כ משה שמיר",15/05/1979,17/07/1979
30,9,1013,"חה""כ שמואל תמיר",17/03/1981,20/07/1981
31,9,1014,מפלגת האיחוד לקידום ולחינוך החברה בישראל,19/05/1981,20/07/1981
32,9,1015,פיתוח ושלום,28/02/1978,20/07/1981
33,9,1016,רשימה ממלכתית,19/05/1981,27/05/1981
34,9,1017,"רפ""י - הרשימה הממלכתית",26/01/1981,19/05/1981
35,9,1018,שוויון בישראל-פנתרים,30/12/1980,19/05/1981
0,10,441,הליכוד,20/07/1981,13/08/1984
1,10,445,חזית דתית לאומית,20/07/1981,13/08/1984
2,10,447,תנועה למסורת ישראל,20/07/1981,13/08/1984
3,10,455,תחייה,20/07/1981,13/08/1984
4,10,457,"ר""ץ",20/07/1981,16/11/1981
5,10,459,שינוי,20/07/1981,13/08/1984
6,10,463,אגודת ישראל,20/07/1981,13/08/1984
7,10,469,תנועה להתחדשות ממלכתית,20/07/1981,06/06/1983
8,10,471,מערך,20/07/1981,13/08/1984
9,10,473,חזית דמוקרטית לשלום ושוויון,20/07/1981,13/08/1984
10,10,1019,גשר - מרכז ציוני דתי,29/05/1984,12/06/1984
11,10,1020,"חה""כ חיים דרוקמן",10/10/1983,13/08/1984
12,10,1021,"ר""ץ",14/05/1984,13/08/1984
13,10,1022,"רפ""י - הרשימה הממלכתית",06/06/1983,13/08/1984
14,10,1023,התנועה להתחדשות ציונית חברתית,06/06/1983,13/08/1984
0,11,477,"חה""כ עבד-אלוהאב דראושה",15/02/1988,07/03/1988
1,11,479,הליכוד,13/08/1984,21/11/1988
2,11,481,מפלגת פועלים מאוחדת,22/10/1984,21/11/1988
3,11,483,מפלגה דתית לאומית,13/08/1984,21/11/1988
4,11,485,תנועה למסורת ישראל,13/08/1984,29/08/1988
5,11,487,רשימה מתקדמת לשלום,13/08/1984,21/11/1988
6,11,489,אומץ,13/08/1984,27/09/1988
7,11,491,מורשה,13/08/1984,21/11/1988
8,11,493,תחייה,13/08/1984,21/11/1988
9,11,495,"ר""ץ",13/08/1984,21/11/1988
10,11,497,שינוי,13/08/1984,21/11/1988
11,11,499,כך,13/08/1984,21/11/1988
12,11,501,אגודת ישראל,13/08/1984,21/11/1988
13,11,503,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",13/08/1984,21/11/1988
14,11,507,צומת,30/11/1987,21/11/1988
15,11,509,"מד""ע - מפלגה דמוקרטית ערבית",07/03/1988,21/11/1988
16,11,515,מערך,13/08/1984,21/11/1988
17,11,517,חזית דמוקרטית לשלום ושוויון,13/08/1984,21/11/1988
18,11,519,יחד,13/08/1984,22/10/1984
19,11,1024,"חה""כ רפאל איתן",16/11/1987,30/11/1987
20,11,1025,"חה""כ שמעון בן-שלמה",27/09/1988,21/11/1988
0,12,521,מפלגת העבודה הישראלית,07/10/1991,13/07/1992
1,12,523,הליכוד,21/11/1988,13/07/1992
2,12,525,מפלגת פועלים מאוחדת,21/11/1988,09/03/1992
3,12,527,מפלגה דתית לאומית,21/11/1988,13/07/1992
4,12,529,רשימה מתקדמת לשלום,21/11/1988,13/07/1992
5,12,531,תחייה,21/11/1988,13/07/1992
6,12,533,"ר""ץ",21/11/1988,09/03/1992
7,12,535,שינוי,21/11/1988,09/03/1992
8,12,537,אגודת ישראל,21/11/1988,13/07/1992
9,12,539,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",21/11/1988,13/07/1992
10,12,543,צומת,21/11/1988,13/07/1992
11,12,545,"מד""ע - מפלגה דמוקרטית ערבית",21/11/1988,13/07/1992
12,12,547,דגל התורה,21/11/1988,13/07/1992
13,12,549,מולדת,21/11/1988,13/07/1992
14,12,551,מפלגה ליברלית חדשה,03/03/1992,13/07/1992
15,12,553,מוריה - עם ישראל על פי תורת ישראל,25/12/1990,13/07/1992
16,12,555,פנתרים שחורים,01/01/1991,13/07/1992
17,12,557,אחדות למען השלום והעלייה,25/12/1990,17/05/1992
18,12,559,גאולת ישראל,25/12/1990,13/07/1992
19,12,561,מרצ,09/03/1992,13/07/1992
20,12,565,מערך,21/11/1988,07/10/1991
21,12,567,חזית דמוקרטית לשלום ושוויון,21/11/1988,13/07/1992
22,12,1026,מפלגה לקידום הרעיון הציוני,15/03/1990,03/03/1992
23,12,1027,"חה""כ צ'רלי ביטון",25/12/1990,01/01/1991
0,13,571,מפלגת העבודה הישראלית,13/07/1992,17/06/1996
1,13,573,הליכוד,13/07/1992,17/06/1996
2,13,575,מפלגה דתית לאומית,13/07/1992,17/06/1996
3,13,577,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",13/07/1992,17/06/1996
4,13,581,צומת,13/07/1992,17/06/1996
5,13,583,"מד""ע - מפלגה דמוקרטית ערבית",13/07/1992,17/06/1996
6,13,585,מולדת,13/07/1992,17/06/1996
7,13,587,מרצ,13/07/1992,17/06/1996
8,13,589,יהדות התורה,13/07/1992,08/04/1996
9,13,593,יעוד,07/02/1994,17/06/1996
10,13,595,ימין ישראל,24/07/1995,17/06/1996
11,13,597,עתיד,27/11/1995,17/06/1996
12,13,599,הדרך השלישית,07/03/1996,17/06/1996
13,13,601,גשר,11/03/1996,17/06/1996
14,13,609,חזית דמוקרטית לשלום ושוויון,13/07/1992,17/06/1996
15,13,1028,אגודת ישראל,08/04/1996,17/06/1996
16,13,1029,דגל התורה,08/04/1996,17/06/1996
17,13,1030,"חה""כ אפרים גור",07/03/1996,17/06/1996
18,13,1031,"חה""כ יוסף בא-גד",12/03/1996,17/06/1996
19,13,1032,"חה""כ יוסף עזרן",28/02/1996,17/06/1996
20,13,1033,"חה""כ נאוה ארד",07/03/1996,17/06/1996
0,14,611,מפלגת העבודה הישראלית,17/06/1996,07/06/1999
1,14,613,הליכוד,04/03/1999,07/06/1999
2,14,615,מפלגה דתית לאומית,17/06/1996,07/06/1999
3,14,617,שינוי - מפלגת מרכז,17/01/1999,29/03/1999
4,14,619,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",17/06/1996,07/06/1999
5,14,621,"חד""ש - בל""ד",17/06/1996,08/03/1999
6,14,623,צומת,04/03/1999,07/06/1999
7,14,625,דגל התורה,23/02/1999,07/06/1999
8,14,627,מולדת,17/06/1996,07/06/1999
9,14,629,מרצ,17/06/1996,07/06/1999
10,14,631,יהדות התורה,17/06/1996,23/02/1999
11,14,633,הדרך השלישית,17/06/1996,07/06/1999
12,14,635,גשר,23/02/1999,07/06/1999
13,14,637,ליכוד - גשר - צומת,17/06/1996,23/02/1999
14,14,639,ישראל בעלייה,17/06/1996,07/06/1999
15,14,641,"מד""ע - רע""ם",17/06/1996,07/06/1999
16,14,643,חזית דמוקרטית לשלום ושוויון,08/03/1999,07/06/1999
17,14,645,ליכוד - צומת,23/02/1999,04/03/1999
18,14,647,חרות - התנועה הלאומית,23/02/1999,07/06/1999
19,14,649,ישראל במרכז,23/02/1999,07/06/1999
20,14,651,"עלי""ה - עמנו למען ישראל המתחדשת",23/02/1999,07/06/1999
21,14,653,מכורה,04/03/1999,04/03/1999
22,14,655,אמונים,04/03/1999,17/03/1999
23,14,657,ברית לאומית דמוקרטית,08/03/1999,07/06/1999
24,14,661,תקומה,17/03/1999,07/06/1999
25,14,663,הצעירים,22/03/1999,29/03/1999
26,14,665,עם אחד,25/03/1999,07/06/1999
27,14,667,שינוי,29/03/1999,07/06/1999
28,14,1034,אגודת ישראל,23/02/1999,07/06/1999
29,14,1035,"חה""כ דוד צוקר",17/03/1999,07/06/1999
30,14,1036,"חה""כ עמנואל זיסמן",29/03/1999,07/06/1999
0,15,3,ישראל אחת,07/06/1999,15/05/2001
1,15,4,הליכוד,07/06/1999,17/02/2003
2,15,5,"ש""ס",07/06/1999,17/02/2003
3,15,6,מרצ,07/06/1999,17/02/2003
4,15,7,האיחוד הלאומי - ישראל ביתנו,01/02/2000,17/02/2003
5,15,8,שינוי,07/06/1999,17/02/2003
6,15,9,מפלגה דתית לאומית,07/06/1999,17/02/2003
7,15,10,יהדות התורה,07/06/1999,17/02/2003
8,15,11,ישראל בעלייה,07/06/1999,17/02/2003
9,15,12,גשר,07/03/2001,17/02/2003
10,15,13,דרך חדשה,06/03/2001,07/05/2001
11,15,14,"חד""ש",07/06/1999,17/02/2003
12,15,15,מפלגת המרכז,07/06/1999,17/02/2003
13,15,16,"רע""ם",07/06/1999,17/02/2003
14,15,17,הבחירה הדמוקרטית,18/10/1999,17/02/2003
15,15,18,מפלגה לאומית ערבית,19/02/2001,17/02/2003
16,15,19,עם אחד,07/06/1999,17/02/2003
17,15,20,"בל""ד",07/06/1999,17/02/2003
18,15,21,חרות - התנועה הלאומית,01/02/2000,17/02/2003
19,15,22,התנועה הערבית להתחדשות,21/12/1999,17/02/2003
20,15,23,העבודה - מימד,15/05/2001,17/02/2003
21,15,679,האיחוד הלאומי,07/06/1999,01/02/2000
22,15,681,ישראל ביתנו,07/06/1999,01/02/2000
23,15,683,מחר - מפלגת חברה ורפורמות,26/07/1999,18/10/1999
24,15,685,לב,06/11/2002,06/11/2002
25,15,687,אחדות לאומית - הברית הלאומית המתקדמת,10/12/2002,17/02/2003
26,15,1037,סיעה של ברונפמן וצינקר (סיעה ללא שם),20/07/1999,26/07/1999
0,16,24,הליכוד,17/02/2003,17/04/2006
1,16,42,העבודה-מימד,17/02/2003,23/05/2005
2,16,43,שינוי התנועה החילונית,17/02/2003,18/05/2005
3,16,44,התאחדות הספרדים העולמית שומרי תורה,17/02/2003,17/04/2006
4,16,45,האיחוד הלאומי - ישראל ביתנו - מולדת - תקומה,17/02/2003,01/02/2006
5,16,46,מרצ - הבחירה הדמוקרטית - שחר,17/02/2003,15/06/2004
6,16,47,עם אחד,17/02/2003,23/05/2005
7,16,48,יהדות התורה והשבת אגודת ישראל - דגל התורה,17/02/2003,12/01/2005
8,16,49,מפלגה דתית לאומית,17/02/2003,17/04/2006
9,16,50,"חד""ש - תע""ל",17/02/2003,07/02/2006
10,16,51,"בל""ד (ברית לאומית דמוקרטית)",17/02/2003,17/04/2006
11,16,52,הרשימה הערבית המאוחדת,17/02/2003,17/04/2006
12,16,53,ישראל בעלייה,17/02/2003,10/03/2003
13,16,62,יחד והבחירה הדמוקרטית,15/06/2004,27/07/2005
14,16,422,דגל התורה,12/01/2005,17/04/2006
15,16,424,אגודת ישראל,12/01/2005,17/04/2006
16,16,442,התחברות,21/03/2005,16/05/2005
17,16,444,ציונות לאומית דתית מתחדשת,16/05/2005,17/04/2006
18,16,462,"צל""ש - ציונות ליברליות שוויון",18/05/2005,17/04/2006
19,16,482,נוי,23/05/2005,23/11/2005
20,16,502,העבודה - מימד - עם אחד,23/05/2005,17/04/2006
21,16,522,מרצ - יחד והבחירה הדמוקרטית,27/07/2005,17/04/2006
22,16,542,אחריות לאומית,23/11/2005,17/01/2006
23,16,562,קדימה,17/01/2006,17/04/2006
24,16,564,הסיעה החילונית,26/01/2006,17/04/2006
25,16,582,"חה""כ מיכאל נודלמן",01/02/2006,08/02/2006
26,16,584,האיחוד הלאומי - מולדת - תקומה,01/02/2006,17/04/2006
27,16,586,הבית הלאומי,05/02/2006,17/04/2006
28,16,588,העולים,01/02/2006,01/02/2006
29,16,590,ישראל ביתנו,01/02/2006,17/04/2006
30,16,602,תנועה ערבית להתחדשות,07/02/2006,17/04/2006
31,16,604,החזית הדמוקרטית לשלום ולשוויון,07/02/2006,17/04/2006
32,16,1038,שינוי מפלגת החילונים ומעמד הביניים,18/05/2005,26/01/2006
33,16,1078,שינוי,26/01/2006,17/04/2006
0,17,622,קדימה-עם אהוד אולמרט לראשות הממשלה,17/04/2006,24/02/2009
1,17,624,העבודה-מימד,17/04/2006,18/12/2008
2,17,626,"אלתג'מוע אלווטני אל דימוקרטי-בל""ד",17/04/2006,24/02/2009
3,17,628,"ש""ס-התאחדות הספרדים העולמית שומרי תורה",17/04/2006,24/02/2009
4,17,630,חזית דמוקרטית לשלום ושוויון,17/04/2006,24/02/2009
5,17,632,יהדות התורה והשבת אגודת ישראל-דגל התורה,17/04/2006,18/12/2008
6,17,634,גיל-גימלאי ישראל לכנסת,17/04/2006,24/02/2009
7,17,636,הרשימה הערבית המאוחדת התנועה הערבית להתחדשות,17/04/2006,24/02/2009
8,17,638,ישראל ביתנו,17/04/2006,24/02/2009
9,17,640,מרצ-ישראל חברתית דמוקרטית,17/04/2006,24/02/2009
10,17,642,"איחוד לאומי-מפד""ל רשימה יהודית לאומית מאוחדת",17/04/2006,03/12/2008
11,17,690,הליכוד עם בנימין נתניהו לראשות הממשלה,17/04/2006,24/02/2009
12,17,702,צדק לזקן,02/06/2008,27/10/2008
13,17,722,הדרך הטובה,27/10/2008,24/02/2009
14,17,1039,אגודת ישראל,18/12/2008,24/02/2009
15,17,1040,"אח""י - ארץ, חברה, יהדות",23/12/2008,24/02/2009
16,17,1041,דגל התורה,18/12/2008,24/02/2009
17,17,1042,"הבית היהודי מיסודם של המפד""ל",23/12/2008,24/02/2009
18,17,1043,"הבית היהודי מיסודם של המפד""ל והאיחוד הלאומי",03/12/2008,23/12/2008
19,17,1044,העבודה,18/12/2008,24/02/2009
20,17,1045,מולדת האיחוד הלאומי,23/12/2008,24/02/2009
21,17,1046,מימד,18/12/2008,24/02/2009
0,18,742,איחוד לאומי,24/02/2009,05/02/2013
1,18,743,"הבית היהודי - מפד""ל החדשה",24/02/2009,05/02/2013
2,18,744,"אלתג'מוע אלווטני אלדמוקרטי - בל""ד",24/02/2009,05/02/2013
3,18,745,חזית דמוקרטית לשלום ושוויון,24/02/2009,05/02/2013
4,18,746,יהדות התורה והשבת אגודת ישראל - דגל התורה,24/02/2009,05/02/2013
5,18,747,ישראל ביתנו,24/02/2009,05/02/2013
6,18,748,"הליכוד - אח""י בהנהגת בנימין נתניהו לראשות הממשלה",24/02/2009,05/02/2013
7,18,749,התנועה החדשה מרצ,24/02/2009,05/02/2013
8,18,750,העבודה,17/01/2011,05/02/2013
9,18,751,קדימה - עם ציפי לבני לראשות הממשלה,24/02/2009,05/02/2013
10,18,752,הרשימה הערבית המאוחדת - התנועה הערבית להתחדשות,24/02/2009,05/02/2013
11,18,753,התאחדות הספרדים העולמית שומרי תורה,24/02/2009,05/02/2013
12,18,762,העצמאות,17/01/2011,05/02/2013
13,18,1047,העבודה,24/02/2009,17/01/2011
14,18,1048,התנועה,03/12/2012,05/02/2013
15,18,1049,"חה""כ חיים אמסלם",03/12/2012,05/02/2013
16,18,1050,"מד""ע - מפלגה דמוקרטית ערבית",03/12/2012,05/02/2013
17,18,1051,עוצמה לישראל,19/11/2012,05/02/2013
0,19,802,"בל""ד - אלתג'מוע אלווטני אלדמוקרטי",05/02/2013,31/03/2015
1,19,803,"הבית היהודי מייסודם של האיחוד הלאומי והמפד""ל החדשה",05/02/2013,31/03/2015
2,19,804,הליכוד - ישראל ביתנו,05/02/2013,09/07/2014
3,19,805,העבודה,05/02/2013,31/03/2015
4,19,806,"חד""ש - החזית הדמוקרטית לשלום ושוויון",05/02/2013,31/03/2015
5,19,807,"יהדות התורה והשבת, אגודת ישראל - דגל התורה",05/02/2013,31/03/2015
6,19,808,מרצ - השמאל של ישראל,05/02/2013,31/03/2015
7,19,809,קדימה,05/02/2013,31/03/2015
8,19,810,"רע""מ-תע""ל-מד""ע",05/02/2013,08/12/2014
9,19,811,שס התאחדות הספרדים העולמית שומרי תורה,05/02/2013,31/03/2015
10,19,812,יש עתיד,05/02/2013,31/03/2015
11,19,813,התנועה,05/02/2013,31/03/2015
12,19,842,הליכוד - תנועה לאומית ליברלית,09/07/2014,31/03/2015
13,19,843,ישראל ביתנו,09/07/2014,31/03/2015
14,19,1052,"רע""מ-תע""ל",08/12/2014,22/01/2015
15,19,1053,"רע""מ - רשימת האיחוד הערבי",22/01/2015,31/03/2015
16,19,1054,"תע""ל - התנועה הערבית להתחדשות",22/01/2015,31/03/2015
0,20,882,הליכוד,31/03/2015,30/04/2019
1,20,902,המחנה הציוני,31/03/2015,01/01/2019
2,20,903,"הרשימה המשותפת (חד""ש, רע""ם, בל""ד ותע""ל)",31/03/2015,30/04/2019
3,20,904,יש עתיד,31/03/2015,30/04/2019
4,20,905,ישראל ביתנו,31/03/2015,30/04/2019
5,20,906,כולנו,31/03/2015,30/04/2019
6,20,907,הבית היהודי,31/03/2015,30/04/2019
